"GEO_ID","NAME","B28006_001E","B28006_001M","B28006_002E","B28006_002M","B28006_003E","B28006_003M","B28006_004E","B28006_004M","B28006_005E","B28006_005M","B28006_006E","B28006_006M","B28006_007E","B28006_007M","B28006_008E","B28006_008M","B28006_009E","B28006_009M","B28006_010E","B28006_010M","B28006_011E","B28006_011M","B28006_012E","B28006_012M","B28006_013E","B28006_013M","B28006_014E","B28006_014M","B28006_015E","B28006_015M","B28006_016E","B28006_016M","B28006_017E","B28006_017M","B28006_018E","B28006_018M","B28006_019E","B28006_019M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate or equivalency","Margin of Error!!Total!!Less than high school graduate or equivalency","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!No computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!No computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Estimate!!Total!!Bachelor's degree or higher","Margin of Error!!Total!!Bachelor's degree or higher","Estimate!!Total!!Bachelor's degree or higher!!Has a computer","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!No computer","Margin of Error!!Total!!Bachelor's degree or higher!!No computer",
"0500000US01003","Baldwin County, Alabama","152980","2105","14747","2891","11519","2297","0","201","8476","1779","3043","1782","3228","1598","89748","4488","85266","4376","291","425","76956","4916","8019","2762","4482","1431","48485","3917","47903","3852","278","469","45895","3687","1730","788","582","523",
"0500000US01015","Calhoun County, Alabama","78115","1084","11649","1838","9234","1753","0","201","6468","1483","2766","1083","2415","672","52215","2414","47526","2460","374","337","42308","2635","4844","1657","4689","1279","14251","2201","13597","2181","28","48","13111","2112","458","542","654","480",
"0500000US01043","Cullman County, Alabama","57497","737","9864","1900","7347","1503","102","180","6208","1424","1037","712","2517","1017","40574","2169","36745","2383","316","328","34104","2472","2325","813","3829","1336","7059","1383","7035","1384","0","201","7020","1382","15","26","24","32",
"0500000US01049","DeKalb County, Alabama","47389","929","11433","1918","7837","1420","0","201","6816","1527","1021","630","3596","1479","28796","1846","26333","1894","0","201","24892","1915","1441","694","2463","792","7160","1679","6840","1648","0","201","5766","1438","1074","791","320","337",
"0500000US01051","Elmore County, Alabama","52686","1547","6292","1610","3624","1374","0","201","2628","1114","996","665","2668","1031","32389","2479","29231","2598","41","68","26504","2689","2686","1193","3158","1059","14005","2114","13606","2130","0","201","13275","2163","331","432","399","241",
"0500000US01055","Etowah County, Alabama","70509","718","8353","1748","6460","1586","0","201","5666","1530","794","485","1893","742","48084","2440","43599","2691","0","201","40325","2918","3274","1206","4485","1193","14072","1990","13557","1937","0","201","13124","1981","433","252","515","369",
"0500000US01069","Houston County, Alabama","71357","543","9719","1053","6339","901","72","105","5380","846","887","245","3380","695","46582","1501","38443","1763","205","158","34803","1624","3435","724","8139","1203","15056","1132","14636","1157","17","30","13961","1124","658","244","420","151",
"0500000US01073","Jefferson County, Alabama","443357","1900","40650","3678","29419","3198","50","84","25455","2987","3914","1066","11231","2437","251831","6320","227299","6522","134","149","207833","7215","19332","3670","24532","2812","150876","5807","148287","5873","83","97","144114","5711","4090","1306","2589","879",
"0500000US01077","Lauderdale County, Alabama","63422","828","6935","1698","5452","1590","0","201","4795","1513","657","361","1483","595","41036","2302","35502","2539","50","84","30843","2586","4609","1380","5534","1408","15451","2043","14472","1943","0","201","14087","1927","385","317","979","490",
