"GEO_ID","NAME","B28006_001E","B28006_001M","B28006_002E","B28006_002M","B28006_003E","B28006_003M","B28006_004E","B28006_004M","B28006_005E","B28006_005M","B28006_006E","B28006_006M","B28006_007E","B28006_007M","B28006_008E","B28006_008M","B28006_009E","B28006_009M","B28006_010E","B28006_010M","B28006_011E","B28006_011M","B28006_012E","B28006_012M","B28006_013E","B28006_013M","B28006_014E","B28006_014M","B28006_015E","B28006_015M","B28006_016E","B28006_016M","B28006_017E","B28006_017M","B28006_018E","B28006_018M","B28006_019E","B28006_019M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate or equivalency","Margin of Error!!Total!!Less than high school graduate or equivalency","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Less than high school graduate or equivalency!!No computer","Margin of Error!!Total!!Less than high school graduate or equivalency!!No computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer","Estimate!!Total!!Bachelor's degree or higher","Margin of Error!!Total!!Bachelor's degree or higher","Estimate!!Total!!Bachelor's degree or higher!!Has a computer","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Bachelor's degree or higher!!No computer","Margin of Error!!Total!!Bachelor's degree or higher!!No computer",
"0500000US01003","Baldwin County, Alabama","133086","2098","11746","2258","8783","1929","27","46","5076","1438","3680","1417","2963","1151","82409","4294","70426","4460","1522","1221","58328","4497","10576","2516","11983","2608","38931","3382","37904","3367","912","937","32484","3441","4508","1444","1027","413",
"0500000US01015","Calhoun County, Alabama","77214","949","14958","2265","9107","1873","116","136","6878","1470","2113","1101","5851","1274","50614","2425","42517","2557","427","405","36524","2742","5566","1544","8097","1644","11642","1645","11243","1696","366","480","9770","1512","1107","709","399","249",
"0500000US01043","Cullman County, Alabama","54847","627","8645","1455","4269","1065","589","506","2390","652","1290","628","4376","1269","36249","1778","29273","2054","834","456","23449","2189","4990","1420","6976","1383","9953","1257","9157","1277","0","192","8396","1340","761","572","796","509",
"0500000US01049","DeKalb County, Alabama","46544","829","13130","1539","6290","1416","0","192","3844","971","2446","1254","6840","1643","27110","2124","20971","2134","122","148","15813","2259","5036","1328","6139","1371","6304","1486","5878","1448","239","359","3931","884","1708","1066","426","380",
"0500000US01051","Elmore County, Alabama","50306","1799","5003","1058","2855","762","0","192","2477","711","378","433","2148","725","35577","2220","31412","2323","536","434","26684","2530","4192","1620","4165","1396","9726","1602","9318","1541","38","65","8767","1506","513","464","408","425",
"0500000US01055","Etowah County, Alabama","70951","1006","12603","1468","7216","1310","0","192","5188","1070","2028","818","5387","1186","46798","2132","37559","2234","291","298","29763","2253","7505","1417","9239","1431","11550","1538","11191","1504","50","65","9971","1370","1170","732","359","275",
"0500000US01069","Houston County, Alabama","69360","493","10138","831","4619","518","169","135","3434","415","1016","296","5519","666","45200","1108","35509","1462","1665","736","29395","1501","4449","635","9691","850","14022","922","13256","878","694","410","11952","900","610","220","766","293",
"0500000US01073","Jefferson County, Alabama","435971","1255","49102","3976","28639","3384","495","417","17882","2434","10262","2375","20463","2370","248576","5681","199491","6209","2017","1014","160691","6387","36783","3957","49085","3607","138293","5328","132672","5300","564","338","122060","5174","10048","1890","5621","1279",
"0500000US01077","Lauderdale County, Alabama","61603","668","10017","1836","5128","1436","52","85","3798","1414","1278","592","4889","1259","40669","2074","34436","2407","1485","780","25490","2614","7461","2049","6233","1330","10917","1465","10007","1453","0","192","9570","1424","437","345","910","565",
"0500000US01081","Lee County, Alabama","85820","1038","8773","1591","4703","1115","0","192","3801","1068","902","436","4070","1156","44222","2819","36456","3048","49","84","32209","3168","4198","1486","7766","2114","32825","3225","31630","3120","99","121","28728","3137","2803","1360","1195","824",
"0500000US01083","Limestone County, Alabama","57020","1528","9154","2089","5793","1913","77","151","4178","1381","1538","1105","3361","988","33026","2074","27910","2359","208","239","23164","2446","4538","1460","5116","1233","14840","1876","13321","1753","80","158","12008","1749","1233","692","1519","713",
"0500000US01089","Madison County, Alabama","229399","1326","21303","2897","13452","2105","210","207","11076","2014","2166","743","7851","1948","116650","4759","101161","4669","1993","1206","88444","4271","10724","2136","15489","3010","91446","4001","88344","4246","285","205","82868","3923","5191","1538","3102","1162",
"0500000US01095","Marshall County, Alabama","62690","840","13427","1891","6870","1482","93","146","4637","1100","2140","979","6557","1764","39112","1836","30811","2237","568","428","25766","2508","4477","1355","8301","1482","10151","1367","9579","1371","96","124","8477","1344","1006","724","572","344",
"0500000US01097","Mobile County, Alabama","265909","1182","36041","2940","19164","2242","445","428","15056","1910","3663","1195","16877","2543","169261","4784","126527","4787","1758","839","106269","4690","18500","2711","42734","4651","60607","4095","57683","4029","548","339","52754","4017","4381","1160","2924","950",
"0500000US01101","Montgomery County, Alabama","143865","1197","19790","2277","11445","1967","0","192","8552","1774","2893","1049","8345","1707","78318","2942","65179","2842","212","293","56758","3366","8209","1929","13139","1886","45757","2701","43077","2727","283","286","41148","2640","1646","611","2680","752",
"0500000US01103","Morgan County, Alabama","78990","1410","13752","1744","7406","1567","85","100","5009","1256","2312","943","6346","1628","47356","2517","38831","2465","1284","683","33181","2522","4366","1184","8525","1793","17882","1873","17080","1843","305","258","15362","1804","1413","674","802","446",
"0500000US01115","St. Clair County, Alabama","57204","824","9014","2133","6491","1890","0","192","4785","1581","1706","1010","2523","1168","38924","2084","35204","2296","669","612","28545","2597","5990","1737","3720","1012","9266","1618","8726","1543","0","192","8084","1467","642","507","540","481",
"0500000US01117","Shelby County, Alabama","134774","1389","10786","2031","6854","1631","0","192","5618","1483","1236","637","3932","1448","68948","3145","62357","3270","394","248","54228","3315","7735","1981","6591","1820","55040","3215","53659","3155","220","188","51821","3132","1618","601","1381","645",
"0500000US01121","Talladega County, Alabama","53233","1213","8340","1894","4987","1387","126","226","3614","1270","1247","581","3353","1154","37074","2152","28594","2040","869","530","23213","2000","4512","1419","8480","1677","7819","1506","7387","1491","52","88","6673","1366","662","578","432","328",
"0500000US01125","Tuscaloosa County, Alabama","118024","1274","14306","1581","6808","1406","0","192","5432","1213","1376","888","7498","1348","71615","3319","55343","3733","532","405","50054","3859","4757","1479","16272","2798","32103","3206","30318","3083","106","130","28277","2810","1935","875","1785","715",
"0500000US01127","Walker County, Alabama","44616","575","9761","1667","4209","940","130","164","2697","640","1382","722","5552","1533","30599","1630","22380","2016","721","532","16809","1845","4850","1391","8219","1619","4256","851","4035","862","175","205","3269","818","591","392","221","210",
"0500000US02020","Anchorage Municipality, Alaska","184299","1815","13144","1949","9277","1388","74","124","8523","1443","680","582","3867","1450","109066","3696","103158","3682","1205","725","92637","3745","9316","2206","5908","1346","62089","3691","60866","3664","175","223","57908","3485","2783","977","1223","646",
"0500000US02090","Fairbanks North Star Borough, Alaska","59493","1163","3770","1273","2522","1074","0","147","1650","767","872","797","1248","820","36273","2540","33111","2846","261","254","27102","2508","5748","1966","3162","1173","19450","2445","18849","2462","23","42","15667","2365","3159","1145","601","347",
"0500000US02170","Matanuska-Susitna Borough, Alaska","57889","634","4697","783","4055","722","72","86","3332","718","651","351","642","270","41292","1351","38458","1464","213","198","35809","1536","2436","590","2834","625","11900","1132","11411","1079","96","139","10551","1114","764","350","489","229",
"0500000US04001","Apache County, Arizona","41506","751","10813","1249","3600","1100","0","203","2593","1000","1007","440","7213","969","26743","1423","14685","1597","89","149","10750","1932","3846","1085","12058","1402","3950","960","3119","900","0","203","2411","828","708","381","831","346",
"0500000US04003","Cochise County, Arizona","79350","2204","8269","1584","4629","1267","61","75","3406","1080","1162","690","3640","994","50127","2741","42982","2859","270","197","37801","2794","4911","1257","7145","1368","20954","2021","20219","2016","96","165","19428","1951","695","435","735","439",
"0500000US04005","Coconino County, Arizona","79036","1092","8426","1596","4658","1303","0","203","3727","1122","931","549","3768","949","43075","2269","35635","2632","363","293","28214","2609","7058","1226","7440","1904","27535","1905","26865","1906","250","195","23982","1978","2633","1110","670","335",
"0500000US04013","Maricopa County, Arizona","2570966","2069","339740","10473","221711","9826","2379","870","166194","8290","53138","5077","118029","8419","1440655","14688","1261758","16032","8471","1720","1116529","16416","136758","8128","178897","7878","790571","13271","762223","13193","4119","1090","724185","12657","33919","3109","28348","3069",
"0500000US04015","Mohave County, Arizona","144428","3744","24288","3494","18861","3542","121","149","14762","2959","3978","1696","5427","1461","103226","4091","88762","4179","1294","662","76457","3951","11011","2272","14464","2407","16914","2629","15289","2574","145","218","14126","2458","1018","493","1625","850",
"0500000US04017","Navajo County, Arizona","64914","547","10937","1344","5020","1077","83","124","3258","900","1679","609","5917","949","44628","1975","33492","2143","781","518","26642","2101","6069","1132","11136","1489","9349","1392","8671","1406","571","395","7250","1439","850","374","678","326",
"0500000US04019","Pima County, Arizona","641384","2152","80749","5150","55370","4207","1009","443","43718","4151","10643","1681","25379","3537","364702","7637","319071","7604","4952","1448","276377","7492","37742","3819","45631","3573","195933","5933","187969","6006","1729","665","174143","6245","12097","2319","7964","1390",
"0500000US04021","Pinal County, Arizona","241500","2492","33068","3539","22268","3437","151","205","17809","3043","4308","1507","10800","2097","166354","4953","141304","5189","2683","1132","123963","5201","14658","2825","25050","3145","42078","3672","40112","3607","197","213","37121","3362","2794","1015","1966","717",
"0500000US04025","Yavapai County, Arizona","160202","1331","16930","2349","12250","1895","0","203","9725","1654","2525","860","4680","1967","104273","3805","89562","3905","1559","804","78705","4039","9298","2328","14711","2879","38999","3148","37066","3244","583","545","34086","3113","2397","975","1933","790",
