"GEO_ID","NAME","B28006_001E","B28006_001M","B28006_002E","B28006_002M","B28006_003E","B28006_003M","B28006_004E","B28006_004M","B28006_005E","B28006_005M","B28006_006E","B28006_006M","B28006_007E","B28006_007M","B28006_008E","B28006_008M","B28006_009E","B28006_009M","B28006_010E","B28006_010M","B28006_011E","B28006_011M","B28006_012E","B28006_012M","B28006_013E","B28006_013M","B28006_014E","B28006_014M","B28006_015E","B28006_015M","B28006_016E","B28006_016M","B28006_017E","B28006_017M","B28006_018E","B28006_018M","B28006_019E","B28006_019M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate or equivalency:","Margin of Error!!Total:!!Less than high school graduate or equivalency:","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!Less than high school graduate or equivalency:!!No computer","Margin of Error!!Total:!!Less than high school graduate or equivalency:!!No computer","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!No computer","Margin of Error!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!No computer","Estimate!!Total:!!Bachelor's degree or higher:","Margin of Error!!Total:!!Bachelor's degree or higher:","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Bachelor's degree or higher:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!Bachelor's degree or higher:!!No computer","Margin of Error!!Total:!!Bachelor's degree or higher:!!No computer",
"0400000US01","Alabama","3399215","5950","367694","10690","320484","10657","384","312","269764","9708","50336","4642","47210","3373","2034609","16851","1930167","17422","5164","2010","1779874","18457","145129","8850","104442","5836","996912","15098","983708","15137","1569","786","952491","15543","29648","4014","13204","1780",
"0400000US02","Alaska","466844","1769","31011","3198","29789","3185","130","170","27302","3069","2357","639","1222","399","288964","6072","282124","6108","873","488","268167","6124","13084","2070","6840","1453","146869","6242","145694","6272","121","136","140054","5760","5519","1553","1175","445",
"0400000US04","Arizona","4950474","3234","529308","14010","483955","13706","357","250","427233","12724","56365","6116","45353","4138","2768111","23323","2685939","24288","2600","901","2525813","24487","157526","10384","82172","5656","1653055","19297","1636692","19147","783","435","1593132","19583","42777","4965","16363","3415",
"0400000US05","Arkansas","2006310","5057","215459","7556","185944","7118","99","93","156317","6723","29528","3828","29515","3485","1274052","12907","1213148","14353","2158","730","1110219","14223","100771","5989","60904","4998","516799","11969","510848","11963","220","187","495317","12160","15311","2633","5951","1459",
"0400000US06","California","26297956","7404","3942804","37544","3737924","36938","4429","1779","3463947","34457","269548","11415","204880","9893","12498742","52189","12193524","53316","13088","2446","11692029","51063","488407","16008","305218","13170","9856410","49439","9775846","49073","4588","1171","9585946","47510","185312","10399","80564","5606",
"0400000US08","Colorado","4015964","4565","271390","11265","253903","10690","158","190","226922","8668","26823","4574","17487","3043","1875953","18992","1824137","19165","2655","998","1730042","19278","91440","8839","51816","4228","1868621","19123","1854997","19157","1623","837","1814042","19568","39332","4769","13624","2096",
"0400000US09","Connecticut","2495694","2624","203758","9740","181905","9420","237","348","166290","8913","15378","2943","21853","3364","1232501","14613","1186144","14490","2063","1216","1132139","14774","51942","6404","46357","4602","1059435","13714","1044879","13648","615","394","1025228","13750","19036","2416","14556","3384",
"0400000US10","Delaware","713195","938","55848","4016","51150","3888","399","410","47167","3828","3584","1038","4698","1151","394934","8266","381899","8377","367","318","366210","8106","15322","2388","13035","1941","262413","8134","260380","8163","325","395","255990","7736","4065","1417","2033","697",
"0400000US11","District of Columbia","465698","638","26572","3244","23260","3244","0","238","19543","3109","3717","1470","3312","806","127600","5856","121213","6419","322","342","110988","6497","9903","2149","6387","1670","311526","6544","309429","6511","137","163","301282","6675","8010","2018","2097","1093",
