"State","Region","Prop_no_Comp"
"Alabama","Southeast",0.114723252280306
"Alaska","Far West",0.0646832774974081
"Arizona","Southwest",0.0809126560406135
"Arkansas","Southeast",0.12060947709975
"California","Far West",0.0583288298147582
"Colorado","Rocky Mountain",0.0598914731307352
"Connecticut","New England",0.0677655193304948
"Delaware","Mideast",0.0599233028835031
"District of Columbia","Mideast",0.0717761295947159
"Florida","Southeast",0.0753025385085121
"Georgia","Southeast",0.0813384010944583
"Hawaii","Far West",0.0733470640997725
"Idaho","Rocky Mountain",0.0657721954433983
"Illinois","Great Lakes",0.0800870295558898
"Indiana","Great Lakes",0.0882214386915757
"Iowa","Plains",0.0878315497784298
"Kansas","Plains",0.0806931068796276
"Kentucky","Southeast",0.0996850493984231
"Louisiana","Southeast",0.135101269872031
"Maine","New England",0.0775218025124565
"Maryland","Mideast",0.0674616625506901
"Massachusetts","New England",0.0629260963084175
"Michigan","Great Lakes",0.082184473854806
"Minnesota","Plains",0.066586737289794
"Mississippi","Southeast",0.144813421854397
"Missouri","Plains",0.0937245599075248
"Montana","Rocky Mountain",0.0955280474298
"Nebraska","Plains",0.0840472111920787
"Nevada","Far West",0.0748977357313745
"New Hampshire","New England",0.0509887316126555
"New Jersey","Mideast",0.0604922506862164
"New Mexico","Southwest",0.129585380333796
"New York","Mideast",0.083587870497628
"North Carolina","Southeast",0.0864734311522887
"North Dakota","Plains",0.0922166746596673
"Ohio","Great Lakes",0.08676045876713
"Oklahoma","Southwest",0.105428285641377
"Oregon","Far West",0.0625548597137146
"Pennsylvania","Mideast",0.0869049379573805
"Rhode Island","New England",0.0732558124251637
"South Carolina","Southeast",0.099441310060696
"South Dakota","Plains",0.0910882965268001
"Tennessee","Southeast",0.096249820894617
"Texas","Southwest",0.0786018553575726
"Utah","Rocky Mountain",0.0500506172130222
"Vermont","New England",0.0763697565239703
"Virginia","Southeast",0.0805495998297844
"Washington","Far West",0.0542468707987813
"West Virginia","Southeast",0.123084304039357
"Wisconsin","Great Lakes",0.0800715128569316
"Wyoming","Rocky Mountain",0.0928379328260139
"Puerto Rico","Puerto Rico",0.183302486684202
